Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift
random868163|6101e40d20c7bc66345c6cf4|Ca40P64H2C|mp-28879|Ca5P8|*CH2|C1 H2|-1.515|1|2|1|0.018
random943829|6101e41120c7bc66345c6d21|Ga16Ag16Te32H2C|mp-4899|GaAgTe2|*CH2|C1 H2|-0.061|1|0|1|0.321
random1985344|6101e42020c7bc66345c6db1|Zr16Ge16H2Pd16C|mp-1103608|ZrGePd|*CH2|C1 H2|-0.881|2|1|1|0.178
random530906|6101e96d20c7bc66345c6e16|Ga16Co8H2CS32|mp-558973|Ga2CoS4|*CH2|C1 H2|2.332|1|0|1|0.063
random2259894|6101e97e20c7bc66345c6eeb|K24Al8H2CSe24|mp-18217|K3AlSe3|*CH2|C1 H2|-0.695|0|1|1|0
random1474317|6101e98936aed9599e8299c5|Ti36Re18H2C|mp-1018125|Ti2Re|*CH2|C1 H2|-2.247|2|1|0|0.167
random1664243|6101e98b36aed9599e8299d4|Na48Cu24As24H2C|mp-15685|Na2CuAs|*CH2|C1 H2|-0.621|1|2|0|0.083
random2212752|6101e98c36aed9599e8299da|Sc32H2Pd16Au16C|mp-972866|Sc2PdAu|*CH2|C1 H2|-0.265|1|0|0|0.125
random579841|6101e99620c7bc66345c6fb4|Bi24H2Pt24CSe24|mp-1103607|BiPtSe|*CH2|C1 H2|-0.215|2|1|0|0.104
random1023511|6101e997a7c2f2b7f339c5fe|Ti16As32H2W24C|mp-1217145|Ti2As4W3|*CH2|C1 H2|-0.404|1|1|2|0.016
random2041294|6101e99a36aed9599e829a4f|As48H2Ru24C|mp-766|As2Ru|*CH2|C1 H2|-1.514|2|1|0|0.043
random2021016|6101e9a036aed9599e829a82|Nb16Zn16H2Ru32C|mp-864840|NbZnRu2|*CH2|C1 H2|-0.982|1|0|0|0.125
random2211550|6101e9a2a7c2f2b7f339c66d|Cs40Si20H2CSe80|mp-637251|Cs2SiSe4|*CH2|C1 H2|-0.783|1|2|2|0.024
random836273|6101e9a3a7c2f2b7f339c676|Ga16As16H2C|mp-8883|GaAs|*CH2|C1 H2|-0.691|1|0|0|0
random563131|6101e9aea7c2f2b7f339c6ef|Ti64H2CN32|mp-8282|Ti2N|*CH2|C1 H2|-2.692|2|1|2|0.014
random1467429|6101ec4ea7c2f2b7f339c742|K16Hg48H2C|mp-1185099|KHg3|*CH2|C1 H2|0.258|1|0|0|0.234
random1231460|6101ec53a7c2f2b7f339c777|Sn16H2Rh48C|mp-978974|SnRh3|*CH2|C1 H2|-0.633|1|0|0|0.250
random1936457|6101ec5720c7bc66345c7084|Cd16H2CS16|mp-672|CdS|*CH2|C1 H2|-2.248|2|0|1|0.375
random1327733|6101ec5a20c7bc66345c7099|H2Ru18Rh72C|mp-1219522|RuRh4|*CH2|C1 H2|-1.747|2|1|1|0.033
random2085317|6101ec5b36aed9599e829bdb|Zr54Co9Sn18H2C|mp-1206072|Zr6CoSn2|*CH2|C1 H2|-2.518|2|1|0|0.246
random645990|6101ec5ea7c2f2b7f339c7d3|H2Ir60C|mp-101|Ir|*CH2|C1 H2|-1.705|2|2|1|0.050
random564996|6101ec63a7c2f2b7f339c80b|As48H2Ru48C|mp-15650|AsRu|*CH2|C1 H2|-1.185|1|1|1|0.012
random1884328|6101ec65a7c2f2b7f339c820|Ta96H50C|mp-24082|Ta2H|*CH2|C1 H2|-3.124|2|1|1|0.125
random839961|6101ec65a7c2f2b7f339c823|Ti24H2C(NCl)24|mp-27850|TiNCl|*CH2|C1 H2|-1.385|1|2|1|0.250
random2265787|6101ec6836aed9599e829c43|Y32In32H2C|mp-22704|YIn|*CH2|C1 H2|-1.368|2|1|1|0.125
random1932603|6101ec6a20c7bc66345c711d|Y36H2Rh36C|mp-191|YRh|*CH2|C1 H2|-1.511|2|1|0|0.083
random1223011|6101ec6d36aed9599e829c55|Ca32In24H2Au80C|mp-645719|Ca4In3Au10|*CH2|C1 H2|-0.224|1|0|1|0.005
random2136983|6101ec6e20c7bc66345c713c|Ni128H2W32C|mp-30811|Ni4W|*CH2|C1 H2|-1.874|2|1|2|0.038
random1833142|6101ec7220c7bc66345c7165|Te48H2W24C|mp-22693|Te2W|*CH2|C1 H2|-2.281|1|2|1|0.289
random550365|6101ec7420c7bc66345c7174|Y20Ge40H2Rh16C|mp-1198948|Y5(Ge5Rh2)2|*CH2|C1 H2|-1.177|2|0|1|0.361
random2377834|6101ec81a7c2f2b7f339c959|Ni16Te16H2C|mp-203|NiTe|*CH2|C1 H2|-0.111|0|0|1|0.125
random1322628|6101ec8620c7bc66345c720a|Ti36H2Rh60C|mp-17413|Ti3Rh5|*CH2|C1 H2|-2.257|0|1|2|0.084
random657355|6101ec8d20c7bc66345c7246|Zr12Ni12Sn12H2C|mp-924129|ZrNiSn|*CH2|C1 H2|-0.974|1|1|1|0.292
random2216343|6101ec9236aed9599e829ce0|Hf20H2Pt60C|mp-1018054|HfPt3|*CH2|C1 H2|-1.342|2|2|1|0.050
random600782|6101ec98a7c2f2b7f339ca36|K12Fe24P24H2C|mp-1206409|K(FeP)2|*CH2|C1 H2|-2.723|2|1|1|0.042
random1949172|6101ec9ea7c2f2b7f339ca70|Na16Te4H2CSe4|mp-1221139|Na4TeSe|*CH2|C1 H2|0.453|1|0|1|0.250
random1107064|6101eca8a7c2f2b7f339cac9|K16In64H2C|mp-22481|KIn4|*CH2|C1 H2|-0.514|1|1|1|0.091
random2326036|6101ecae20c7bc66345c734f|Sc16Te24H2C|mp-1219396|Sc2Te3|*CH2|C1 H2|-0.895|2|1|1|0.209
random1058260|6101ecb5a7c2f2b7f339cb32|As20H2Rh20CSe20|mp-1228724|AsRhSe|*CH2|C1 H2|-1.229|2|2|1|0.047
random2179244|6101ecb6a7c2f2b7f339cb38|Y12Ga32Ag12H2C|mp-1104155|Y3Ga8Ag3|*CH2|C1 H2|-1.668|0|1|1|0.007
random1745100|6101ecb820c7bc66345c73b7|Ti40Ga12Sb12H2C|mp-1217250|Ti10(GaSb)3|*CH2|C1 H2|-2.041|2|1|1|0.181
random1417397|6101ecbda7c2f2b7f339cb62|Tl3V15H2CS24|mp-1104896|TlV5S8|*CH2|C1 H2|0.204|1|1|2|0.038
random2498654|6101ecbe36aed9599e829ddb|Nb32H2CN40|mp-7927|Nb4N5|*CH2|C1 H2|-1.383|1|1|0|0.098
random683682|6101ecbf36aed9599e829ded|Cr72As24H2C|mp-1213747|Cr3As|*CH2|C1 H2|-1.130|2|1|0|0.125
random1920437|6101ecc2a7c2f2b7f339cb7a|Sr4Ge28H2CN40|mp-1247194|SrGe7N10|*CH2|C1 H2|-1.716|0|1|0|0.263
random1062957|6101ecc236aed9599e829e0d|Al60H2Rh24C|mp-1791|Al5Rh2|*CH2|C1 H2|-1.348|2|1|1|0.147
random857941|6101ecc6a7c2f2b7f339cb89|Ti48Zn16H2C|mp-866186|Ti3Zn|*CH2|C1 H2|-1.349|1|1|0|0.125
random2033711|6101ecc620c7bc66345c7455|Zn9Cd9H2Pt18C|mp-30493|ZnCdPt2|*CH2|C1 H2|-0.860|1|0|1|0.388
random1823025|6101ecc7a7c2f2b7f339cb8c|K32Ge16H2CSe64|mp-29022|K2GeSe4|*CH2|C1 H2|1.173|1|2|-2|0.250
random2430187|6101eccb36aed9599e829e5b|Nb18H2CS36|mp-1077440|NbS2|*CH2|C1 H2|-1.325|2|1|2|0.151
random1677763|6101eccb20c7bc66345c747d|Al8Mo32H2CS64|mp-554868|Al(MoS2)4|*CH2|C1 H2|-0.637|1|0|1|0.092
random2036137|6101ecd036aed9599e829e93|Nb36Co42H2C|mp-7250|Nb6Co7|*CH2|C1 H2|-2.162|2|1|1|0.126
random582911|6101ecd436aed9599e829eb9|Ta60Si36H2C|mp-1989|Ta5Si3|*CH2|C1 H2|-2.111|2|1|0|0.018
random742983|6101ecd8a7c2f2b7f339cc1c|V48H2C|mp-146|V|*CH2|C1 H2|-2.255|1|1|1|0.083
random1755077|6101ecdf20c7bc66345c752b|Al16Ga16Co32H2C|mp-1228893|AlGaCo2|*CH2|C1 H2|-1.381|2|2|1|0.031
random553211|6101ece5a7c2f2b7f339cc8e|Tl16In16H2CS32|mp-1078621|TlInS2|*CH2|C1 H2|0.025|2|1|1|0.052
random2153804|6101ecefa7c2f2b7f339ccef|Cu48Sb16H2CS48|mp-17691|Cu3SbS3|*CH2|C1 H2|-1.810|2|1|1|0.473
random1921323|6101ecf736aed9599e829ff7|Hf24Sn8H2C|mp-1184633|Hf3Sn|*CH2|C1 H2|-2.265|1|0|1|0.125
random826541|6101ed0420c7bc66345c766a|Na24Hg8H2C|mp-1186050|Na3Hg|*CH2|C1 H2|-0.321|1|1|0|0.125
random1912732|6101ed0636aed9599e82a07e|Hf32Hg16H2C|mp-1018154|Hf2Hg|*CH2|C1 H2|-1.312|1|1|1|0.042
random2007356|6101ed0720c7bc66345c7687|Ti32H2Pt96C|mp-972220|TiPt3|*CH2|C1 H2|-1.074|2|1|1|0.125
random1881145|6101ed1736aed9599e82a10f|Mn32Ge32H2C|mp-1078464|MnGe|*CH2|C1 H2|-0.752|2|1|1|0.058
random2372585|6101ed2020c7bc66345c777d|Ti24Co12Re12H2C|mp-861641|Ti2CoRe|*CH2|C1 H2|-2.129|1|1|1|0.042
random931308|6101ed2120c7bc66345c7780|H2Rh16CS32|mp-22555|RhS2|*CH2|C1 H2|-0.380|1|1|0|0.055
random467320|6101ed2420c7bc66345c779e|P30H2Ir60C|mp-2082|PIr2|*CH2|C1 H2|-0.435|2|2|1|0.025
random923054|6101ed2aa7c2f2b7f339ced1|In36H2C|mp-1055994|In|*CH2|C1 H2|0.026|1|0|0|0.250
random2392328|6101ed3220c7bc66345c780a|In16Te16H2C|mp-2597|InTe|*CH2|C1 H2|0.329|1|1|0|0.125
random802552|6101ed32a7c2f2b7f339cf05|Al30H2CN30|mp-1700|AlN|*CH2|C1 H2|-3.223|2|2|1|0.075
random1249548|6101ed4120c7bc66345c7856|Al16Fe24Si24H2C|mp-29110|Al2(FeSi)3|*CH2|C1 H2|-1.205|2|-1|-1|0.073
random2366385|6101ed5520c7bc66345c78e1|Ta12Al4Fe32H2C|mp-1218090|Ta3AlFe8|*CH2|C1 H2|-2.211|1|1|1|0.172
random1121561|6101ed5836aed9599e82a326|In60H2Rh20C|mp-18614|In3Rh|*CH2|C1 H2|0.035|2|1|2|0.012
random631959|6101ed5ca7c2f2b7f339d06f|Te24H2Rh24C|mp-1628|TeRh|*CH2|C1 H2|-0.459|2|1|1|0.069
random1321880|6101ed5e20c7bc66345c7919|Al52H2Pd52C|mp-669546|AlPd|*CH2|C1 H2|-1.179|1|1|0|0.011
random1777450|6101ed6136aed9599e82a37c|Y24Cu24H2C|mp-1080443|YCu|*CH2|C1 H2|-1.557|1|1|1|0.130
random1078351|6101ed64a7c2f2b7f339d090|Y24Ag12Hg12H2C|mp-1187701|Y2AgHg|*CH2|C1 H2|-0.956|1|1|1|0.042
random2463029|6101ed7220c7bc66345c79d8|Nb18H2W6CSe48|mp-1220503|Nb3WSe8|*CH2|C1 H2|-1.079|1|1|0|0.063
random2311238|6101ed7436aed9599e82a43b|H2Pb36C|mp-20745|Pb|*CH2|C1 H2|0.113|2|1|2|0
random723936|6101ed79a7c2f2b7f339d11d|Ag6Sn6H2CSe12|mp-1229011|AgSnSe2|*CH2|C1 H2|-0.430|2|1|-2|0.083
random774294|6101ed8a36aed9599e82a510|Ti18H2Pd36C|mp-1018121|TiPd2|*CH2|C1 H2|-1.074|0|0|1|0.250
random1417120|6101ed8f36aed9599e82a544|Na58H2C|mp-1186081|Na|*CH2|C1 H2|-0.546|1|0|0|0.067
random1473917|6101ed9536aed9599e82a582|Nb32Mo32H2C|mp-1220327|NbMo|*CH2|C1 H2|-1.589|1|0|1|0.125
random497160|6101ed9ab3f44d70a68687cf|Hf16H2W32C|mp-1400|HfW2|*CH2|C1 H2|-2.562|1|0|0|0.062
random1002183|6101f07536aed9599e82a690|Sc48Bi16H2C|mp-1186964|Sc3Bi|*CH2|C1 H2|-2.492|1|0|2|0.125
random1572813|6101f08aa7c2f2b7f339d3ac|Co2Mo24H2CSe32|mp-675208|Co(Mo3Se4)4|*CH2|C1 H2|-0.583|2|1|1|0.197
random818512|6101f08ca7c2f2b7f339d3c5|V9H2Pd36C|mp-1216296|VPd4|*CH2|C1 H2|-1.060|1|0|-2|0.500
random1623077|6101f092a7c2f2b7f339d404|Ta72Ge24H2C|mp-17728|Ta3Ge|*CH2|C1 H2|-3.790|2|1|1|0.298
random2482327|6101f09628bda86bd290313b|Y16Si32H2Rh32C|mp-3441|Y(SiRh)2|*CH2|C1 H2|-1.579|1|1|1|0.093
random2440834|6101f09e36aed9599e82a775|Ti40Tc40H2C|mp-11573|TiTc|*CH2|C1 H2|-2.047|2|2|1|0.050
random703241|6102fd8536aed9599e82ab94|Zr24Zn8H2C|mp-972088|Zr3Zn|*CH2|C1 H2|-1.879|0|0|1|0.125
random1367439|6102fd8e28bda86bd29039c5|Y16Al32H2CN48|mp-1247331|YAl2N3|*CH2|C1 H2|-1.667|1|0|2|0.146
random1346449|6102fd9c28bda86bd2903a73|Nb18Ge36H2C|mp-363|NbGe2|*CH2|C1 H2|-0.742|2|1|1|0.084
random519095|6102fda028bda86bd2903a9d|Ta60Ga36H2C|mp-1188462|Ta5Ga3|*CH2|C1 H2|-2.419|2|1|1|0.143
random2168834|6102fe3f8755c713dfa9c87b|Sc48H2Pb16C|mp-978531|Sc3Pb|*CH2|C1 H2|-2.143|1|1|1|0.062
random1532662|6102fe3f28bda86bd2903ae6|Cs24Te36H2C|mp-505634|Cs2Te3|*CH2|C1 H2|-0.955|1|1|1|0.008
random2448360|6102fe458755c713dfa9c8bd|Hf40Si24H2C|mp-15965|Hf5Si3|*CH2|C1 H2|-2.510|1|1|0|0.221
random1112840|6102fe4a8755c713dfa9c8e9|Hf30Sb54H2C|mp-570870|Hf5Sb9|*CH2|C1 H2|-0.809|1|1|1|0.112
random549329|6102feef28bda86bd2903c3b|Hf20Al60H2C|mp-1007730|HfAl3|*CH2|C1 H2|-1.398|2|2|1|0.050
random1171674|6102fef004535dfc0fcde924|Mn16H2Ru48C|mp-865045|MnRu3|*CH2|C1 H2|-1.585|1|0|2|0.123
random1706008|6102fef728bda86bd2903c97|Ti48Sn16H2C|mp-1079460|Ti3Sn|*CH2|C1 H2|-2.456|0|1|1|0.250
random759550|6102fef828bda86bd2903ca3|Cd24Ge12As48H2C|mp-5712|Cd2GeAs4|*CH2|C1 H2|-1.330|2|1|0|0.044
random1558770|6102fef828bda86bd2903ca4|Ca32H2C|mp-132|Ca|*CH2|C1 H2|-2.135|1|1|1|0
random328525|6102fefa28bda86bd2903cb7|Na64H2C|mp-1186040|Na|*CH2|C1 H2|-0.525|1|0|0|0.125
random2221905|6102ff0328bda86bd2903d16|Al36Ga12H2CN48|mp-1228436|Al3GaN4|*CH2|C1 H2|-1.686|1|0|1|0.114
